,qid,Questions,Option1,Option2,Option3,Option4,Option5,Answer,sub_diff,diff_lev,cat,lev
147,147,The expression (11.98 x 11.98 + 11.98 x x + 0.02 x 0.02) will be a perfect square for x equal to:,0.02,0.2,0.04,0.4,,Answer: Option C,0,0,logical,0.0
148,148,"(0.1667)(0.8333)(0.3333) is approximately equal to:
(0.2222)(0.6667)(0.1250)",2,2.4,2.43,2.5,,Answer: Option D,2,0,logical,2.0
149,149,3889 + 12.952 - ? = 3854.002,47.095,47.752,47.932,47.95,,Answer: Option D,1,0,logical,1.0
150,150,0.04 x 0.0162 is equal to:,6.48 x 10-3,6.48 x 10-4,6.48 x 10-5,6.48 x 10-6,,Answer: Option B,1,0,logical,1.0
151,151,"4.2 x 4.2 - 1.9 x 1.9 is equal to:
2.3 x 6.1",0.5,1,20,22,,Answer: Option B,0,0,logical,0.0
152,152,"If 144 = 14.4 , then the value of x is:
0.144 x",0.0144,1.44,14.4,144,,Answer: Option A,2,0,logical,2.0
153,153,"The price of commodity X increases by 40 paise every year, while the price of commodity Y increases by 15 paise every year. If in 2001, the price of commodity X was Rs. 4.20 and that of Y was Rs. 6.30, in which year commodity X will cost 40 paise more than the commodity Y ?",2010,2011,2012,2013,,Answer: Option B,0,0,logical,0.0
154,154,Which of the following are in descending order of their value ?,"1 , 2 , 3 , 4 , 5 , 6
3 5 7 5 6 7","1 , 2 , 3 , 4 , 5 , 6
3 5 5 7 6 7","1 , 2 , 3 , 4 , 5 , 6
3 5 5 6 7 7","6 , 5 , 4 , 3 , 2 , 1
7 6 5 7 5 3",,Answer: Option D,2,0,logical,2.0
155,155,"Which of the following fractions is greater than 3 and less than 5 ?
4 6","1
2","2
3","4
5","9
10",,Answer: Option C,2,0,logical,2.0
156,156,The rational number for recurring decimal 0.125125.... is:,"63
487","119
993","125
999",None of these,,Answer: Option C,2,0,logical,2.0
157,157,617 + 6.017 + 0.617 + 6.0017 = ?,6.2963,62.965,629.6357,None of these,,Answer: Option C,2,0,logical,2.0
158,158,"The value of 489.1375 x 0.0483 x 1.956 is closest to:
0.0873 x 92.581 x 99.749",0.006,0.06,0.6,6,,Answer: Option B,1,0,logical,1.0
159,159,0.002 x 0.5 = ?,0.0001,0.001,0.01,0.1,,Answer: Option B,0,0,logical,0.0
160,160,34.95 + 240.016 + 23.98 = ?,298.0946,298.111,298.946,299.09,,Answer: Option C,2,0,logical,2.0
161,161,Which of the following is equal to 3.14 x 106 ?,314,3140,3140000,None of these,,Answer: Option C,2,0,logical,2.0
162,162,The least among the following is:,0.2,1 � 0.2,0.2,(0.2)2,,Answer: Option D,0,0,logical,0.0
163,163,"5 x 1.6 - 2 x 1.4 = ?
1.3",0.4,1.2,1.4,4,,Answer: Option D,2,0,logical,2.0
164,164,How many digits will be there to the right of the decimal point in the product of 95.75 and .02554 ?,5,6,7,None of these,,Answer: Option B,2,0,logical,2.0
165,165,The correct expression of 6.46 in the fractional form is:,"646
99","64640
1000","640
100","640
99",,Answer: Option D,1,0,logical,1.0
166,166,"The fraction 101 27 in decimal for is:
100000",0.01027,0.10127,101.00027,101.000027,,Answer: Option C,0,0,logical,0.0
167,167,"0.0203 x 2.92 = ?
0.0073 x 14.5 x 0.7",0.8,1.45,2.4,3.25,,Answer: Option A,2,0,logical,2.0
168,168,4.036 divided by 0.04 gives :,1.009,10.09,100.9,None of these,,Answer: Option C,0,0,logical,0.0
169,169,3.87 - 2.59 = ?,1.2,1.2,1.27,1.28,,Answer: Option D,0,0,logical,0.0
170,170,"Find the greatest number that will divide 43, 91 and 183 so as to leave the same remainder in each case.",4,7,9,13,,Answer: Option A,2,0,logical,2.0
171,171,The H.C.F. of two numbers is 23 and the other two factors of their L.C.M. are 13 and 14. The larger of the two numbers is:,276,299,322,345,,Answer: Option C,1,0,logical,1.0
172,172,"Six bells commence tolling together and toll at intervals of 2, 4, 6, 8 10 and 12 seconds respectively. In 30 minutes, how many times do they toll together ?",4,10,15,16,,Answer: Option D,2,0,logical,2.0
173,173,"Let N be the greatest number that will divide 1305, 4665 and 6905, leaving the same remainder in each case. Then sum of the digits in N is:",4,5,6,8,,Answer: Option A,1,0,logical,1.0
174,174,"The greatest number of four digits which is divisible by 15, 25, 40 and 75 is:",9000,9400,9600,9800,,Answer: Option C,2,0,logical,2.0
175,175,"The product of two numbers is 4107. If the H.C.F. of these numbers is 37, then the greater number is:",101,107,111,185,,Answer: Option C,1,0,logical,1.0
176,176,Three number are in the ratio of 3 : 4 : 5 and their L.C.M. is 2400. Their H.C.F. is:,40,80,120,200,,Answer: Option A,0,0,logical,0.0
177,177,"The G.C.D. of 1.08, 0.36 and 0.9 is:",0.03,0.9,0.18,0.108,,Answer: Option C,2,0,logical,2.0
178,178,The product of two numbers is 2028 and their H.C.F. is 13. The number of such pairs is:,1,2,3,4,,Answer: Option B,0,0,logical,0.0
179,179,"The least multiple of 7, which leaves a remainder of 4, when divided by 6, 9, 15 and 18 is:",74,94,184,364,,Answer: Option D,1,0,logical,1.0
180,180,"Find the lowest common multiple of 24, 36 and 40.",120,240,360,480,,Answer: Option C,1,0,logical,1.0
181,181,"The least number which should be added to 2497 so that the sum is exactly divisible by 5, 6, 4 and 3 is:",3,13,23,33,,Answer: Option C,2,0,logical,2.0
182,182,"Reduce 128352 to its lowest terms.
238368","3
4","5
13","7
13","9
13",,Answer: Option C,2,0,logical,2.0
183,183,"The least number which when divided by 5, 6 , 7 and 8 leaves a remainder 3, but when divided by 9 leaves no remainder, is:",1677,1683,2523,3363,,Answer: Option B,0,0,logical,0.0
184,184,"A, B and C start at the same time in the same direction to run around a circular stadium. A completes a round in 252 seconds, B in 308 seconds and c in 198 seconds, all starting at the same point. After what time will they again at the starting point ?",26 minutes and 18 seconds,42 minutes and 36 seconds,45 minutes,46 minutes and 12 seconds,,Answer: Option D,0,0,logical,0.0
185,185,"The H.C.F. of two numbers is 11 and their L.C.M. is 7700. If one of the numbers is 275, then the other is:",279,283,308,318,,Answer: Option C,0,0,logical,0.0
186,186,"What will be the least number which when doubled will be exactly divisible by 12, 18, 21 and 30 ?",196,630,1260,2520,,Answer: Option B,1,0,logical,1.0
187,187,The ratio of two numbers is 3 : 4 and their H.C.F. is 4. Their L.C.M. is:,12,16,24,48,,Answer: Option D,1,0,logical,1.0
188,188,"The smallest number which when diminished by 7, is divisible 12, 16, 18, 21 and 28 is:",1008,1015,1022,1032,,Answer: Option B,1,0,logical,1.0
189,189,252 can be expressed as a product of primes as:,2 x 2 x 3 x 3 x 7,2 x 2 x 2 x 3 x 7,3 x 3 x 3 x 3 x 7,2 x 3 x 3 x 3 x 7,,Answer: Option A,0,0,logical,0.0
190,190,"The greatest possible length which can be used to measure exactly the lengths 7 m, 3 m 85 cm, 12 m 95 cm is:",15 cm,25 cm,35 cm,42 cm,,Answer: Option C,2,0,logical,2.0
191,191,Three numbers which are co-prime to each other are such that the product of the first two is 551 and that of the last two is 1073. The sum of the three numbers is:,75,81,85,89,,Answer: Option C,2,0,logical,2.0
192,192,Find the highest common factor of 36 and 84.,4,6,12,18,,Answer: Option C,0,0,logical,0.0
193,193,Which of the following fraction is the largest ?,"7
8","13
16","31
40","63
80",,Answer: Option A,0,0,logical,0.0
194,194,"The least number, which when divided by 12, 15, 20 and 54 leaves in each case a remainder of 8 is:",504,536,544,548,,Answer: Option D,2,0,logical,2.0
195,195,"The greatest number which on dividing 1657 and 2037 leaves remainders 6 and 5 respectively, is:",123,127,235,305,,Answer: Option B,0,0,logical,0.0
196,196,Which of the following has the most number of divisors?,99,101,176,182,,Answer: Option C,0,0,logical,0.0
197,197,The L.C.M. of two numbers is 48. The numbers are in the ratio 2 : 3. Then sum of the number is:,28,32,40,64,,Answer: Option C,2,0,logical,2.0
198,198,"The H.C.F. of 9 , 12 , 18 and 21 is:
10 25 35 40","3
5","252
5","3
1400","63
700",,Answer: Option C,2,0,logical,2.0
199,199,"If the sum of two numbers is 55 and the H.C.F. and L.C.M. of these numbers are 5 and 120 respectively, then the sum of the reciprocals of the numbers is equal to:","55
601","601
55","11
120","120
11",,Answer: Option C,0,0,logical,0.0
200,200,"Two ships are sailing in the sea on the two sides of a lighthouse. The angle of elevation of the top of the lighthouse is observed from the ships are 30° and 45° respectively. If the lighthouse is 100 m high, the distance between the two ships is:",173 m,200 m,273 m,300 m,,Answer: Option C,2,0,logical,2.0
201,201,"A man standing at a point P is watching the top of a tower, which makes an angle of elevation of 30° with the man's eye. The man walks some distance towards the tower to watch its top and the angle of the elevation becomes 60°. What is the distance between the base of the tower and the point P?",43 units,8 units,12 units,Data inadequate,None of these,Answer: Option D,0,0,logical,0.0
202,202,The angle of elevation of a ladder leaning against a wall is 60° and the foot of the ladder is 4.6 m away from the wall. The length of the ladder is:,2.3 m,4.6 m,7.8 m,9.2 m,,Answer: Option D,1,0,logical,1.0
203,203,An observer 1.6 m tall is 203 away from a tower. The angle of elevation from his eye to the top of the tower is 30°. The heights of the tower is:,21.6 m,23.2 m,24.72 m,None of these,,Answer: Option A,0,0,logical,0.0
204,204,"From a point P on a level ground, the angle of elevation of the top tower is 30°. If the tower is 100 m high, the distance of point P from the foot of the tower is:",149 m,156 m,173 m,200 m,,Answer: Option C,2,0,logical,2.0
205,205,"The angle of elevation of the sun, when the length of the shadow of a tree 3 times the height of the tree, is:",30°,45°,60°,90°,,Answer: Option A,1,0,logical,1.0
206,206,Which of the following statements is not correct?,log10 10 = 1,log (2 + 3) = log (2 x 3),log10 1 = 0,log (1 + 2 + 3) = log 1 + log 2 + log 3,,Answer: Option B,0,0,logical,0.0
207,207,"If log 2 = 0.3010 and log 3 = 0.4771, the value of log5 512 is:",2.87,2.967,3.876,3.912,,Answer: Option C,1,0,logical,1.0
208,208,"log 8 is equal to:
log 8","1
8","1
4","1
2","1
8",,Answer: Option C,1,0,logical,1.0
209,209,"If log 27 = 1.431, then the value of log 9 is:",0.934,0.945,0.954,0.958,,Answer: Option C,0,0,logical,0.0
210,210,"If log a + log b = log (a + b), then:
b a",a + b = 1,a - b = 1,a = b,a2 - b2 = 1,,Answer: Option A,1,0,logical,1.0
211,211,"If log 2 = 0.30103, the number of digits in 264 is:",18,19,20,21,,Answer: Option C,0,0,logical,0.0
212,212,"If logx 9 = - 1 , then x is equal to:
16 2","- 3
4","3
4","81
256","256
81",,Answer: Option D,0,0,logical,0.0
213,213,"If ax = by, then:","log a = x
b y","log a = x
log b y","log a = y
log b x",None of these,,Answer: Option C,0,0,logical,0.0
214,214,"If logx y = 100 and log2 x = 10, then the value of y is:",210,2100,21000,210000,,Answer: Option C,1,1,reasoning,4.0
215,215,The value of log2 16 is:,"1
8",4,8,16,,Answer: Option B,1,1,reasoning,4.0
216,216,"If log10 7 = a, then log10 1 is equal to:
70",- (1 + a),(1 + a)-1,"a
10","1
10a",,Answer: Option A,0,1,reasoning,3.0
217,217,"If log10 2 = 0.3010, then log2 10 is equal to:","699
301","1000
301",0.301,0.699,,Answer: Option B,0,1,reasoning,3.0
218,218,"If log10 2 = 0.3010, the value of log10 80 is:",1.602,1.903,3.903,None of these,,Answer: Option B,0,1,reasoning,3.0
219,219,"If log10 5 + log10 (5x + 1) = log10 (x + 5) + 1, then x is equal to:",1,3,5,10,,Answer: Option B,0,1,reasoning,3.0
220,220,"The value of 1 + 1 + 1 is:
log3 60 log4 60 log5 60",0,1,5,60,,Answer: Option B,1,1,reasoning,4.0
221,221,Which one of the following is not a prime number?,31,61,71,91,,Answer: Option D,2,1,reasoning,5.0
222,222,(112 x 54) = ?,67000,70000,76500,77200,,Answer: Option B,1,1,reasoning,4.0
223,223,It is being given that (232 + 1) is completely divisible by a whole number. Which of the following numbers is completely divisible by this number?,(216 + 1),(216 - 1),(7 x 223),(296 + 1),,Answer: Option D,2,1,reasoning,5.0
224,224,"What least number must be added to 1056, so that the sum is completely divisible by 23 ?",2,3,18,21,None of these,Answer: Option A,1,1,reasoning,4.0
225,225,1397 x 1397 = ?,1951609,1981709,18362619,2031719,None of these,Answer: Option A,1,1,reasoning,4.0
226,226,"How many of the following numbers are divisible by 132 ?
264, 396, 462, 792, 968, 2178, 5184, 6336",4,5,6,7,,Answer: Option A,2,1,reasoning,5.0
227,227,(935421 x 625) = ?,575648125,584638125,584649125,585628125,,Answer: Option B,0,1,reasoning,3.0
228,228,The largest 4 digit number exactly divisible by 88 is:,9944,9768,9988,8888,None of these,Answer: Option A,2,1,reasoning,5.0
229,229,Which of the following is a prime number ?,33,81,93,97,,Answer: Option D,0,1,reasoning,3.0
230,230,What is the unit digit in {(6374)1793 x (625)317 x (341491)}?,0,2,3,5,,Answer: Option A,2,1,reasoning,5.0
231,231,Which one of the following is a prime number ?,161,221,373,437,None of these,Answer: Option C,2,1,reasoning,5.0
232,232,The smallest 6 digit number exactly divisible by 111 is:,111111,110011,100011,110101,None of these,Answer: Option C,1,1,reasoning,4.0
233,233,The largest 5 digit number exactly divisible by 91 is:,99921,99918,99981,99971,None of these,Answer: Option B,2,1,reasoning,5.0
234,234,"768 x 768 x 768 + 232 x 232 x 232 = ?
768 x 768 - 768 x 232 + 232 x 232",1000,536,500,268,None of these,Answer: Option A,1,1,reasoning,4.0
235,235,The smallest 5 digit number exactly divisible by 41 is:,1004,10004,10045,10025,None of these,Answer: Option B,2,1,reasoning,5.0
236,236,"How many terms are there in the G.P. 3, 6, 12, 24, ... , 384 ?",8,9,10,11,7,Answer: Option A,0,1,reasoning,3.0
237,237,"If x and y are positive integers such that (3x + 7y) is a multiple of 11, then which of the following will be divisible by 11 ?",4x + 6y,x + y + 4,9x + 4y,4x - 9y,,Answer: Option D,0,1,reasoning,3.0
238,238,9548 + 7314 = 8362 + (?),8230,8410,8500,8600,None of these,Answer: Option C,1,1,reasoning,4.0
239,239,"In a division sum, the remainder is 0. As student mistook the divisor by 12 instead of 21 and obtained 35 as quotient. What is the correct quotient ?",0,12,13,20,,Answer: Option D,2,1,reasoning,5.0
240,240,2 + 22 + 23 + ... + 29 = ?,2044,1022,1056,None of these,,Answer: Option B,1,1,reasoning,4.0
241,241,The sum of even numbers between 1 and 31 is:,6,28,240,512,,Answer: Option C,0,1,reasoning,3.0
242,242,"If the number 91876 * 2 is completely divisible by 8, then the smallest whole number in place of * will be:",1,2,3,4,None of these,Answer: Option C,2,1,reasoning,5.0
243,243,2056 x 987 = ?,1936372,2029272,1896172,1926172,None of these,Answer: Option B,0,1,reasoning,3.0
244,244,"On multiplying a number by 7, the product is a number each of whose digits is 3. The smallest such number is:",47619,47719,48619,47649,,Answer: Option A,1,1,reasoning,4.0
245,245,"If 60% of 3 of a number is 36, then the number is:
5",80,100,75,90,,Answer: Option B,0,1,reasoning,3.0
246,246,"If x and y are the two digits of the number 653xy such that this number is divisible by 80, then x + y = ?",2 or 6,4,4 or 8,8,None of these,Answer: Option A,2,1,reasoning,5.0
247,247,The difference of the squares of two consecutive odd integers is divisible by which of the following integers ?,3,6,7,8,,Answer: Option D,1,1,reasoning,4.0
248,248,What is the unit digit in (4137)754?,1,3,7,9,,Answer: Option D,2,1,reasoning,5.0
249,249,587 x 999 = ?,586413,587523,614823,615173,,Answer: Option A,2,1,reasoning,5.0
250,250,"A number was divided successively in order by 4, 5 and 6. The remainders were respectively 2, 3 and 4. The number is:",214,476,954,1908,,Answer: Option A,1,1,reasoning,4.0
251,251,"If (64)2 - (36)2 = 20 x x, then x = ?",70,120,180,140,None of these,Answer: Option D,1,1,reasoning,4.0
252,252,Which one of the following can't be the square of natural number ?,32761,81225,42437,20164,None of these,Answer: Option C,0,1,reasoning,3.0
253,253,(22 + 42 + 62 + ... + 202) = ?,770,1155,1540,385 x 385,,Answer: Option C,2,1,reasoning,5.0
254,254,"854 x 854 x 854 - 276 x 276 x 276 = ?
854 x 854 + 854 x 276 + 276 x 276",1130,578,565,1156,None of these,Answer: Option B,0,1,reasoning,3.0
255,255,35 + 15 x 1.5 = ?,85,51.5,57.5,5.25,None of these,Answer: Option C,2,1,reasoning,5.0
256,256,The sum of first 45 natural numbers is:,1035,1280,2070,2140,,Answer: Option A,1,1,reasoning,4.0
257,257,666 � 6 � 3 = ?,37,333,111,84,None of these,Answer: Option A,0,1,reasoning,3.0
258,258,The sum of all two digit numbers divisible by 5 is:,1035,1245,1230,945,None of these,Answer: Option D,1,1,reasoning,4.0
259,259,The difference between the place values of two sevens in the numeral 69758472 is,0,6993,699930,None of these,,Answer: Option C,1,1,reasoning,4.0
260,260,"On dividing a number by 68, we get 269 as quotient and 0 as remainder. On dividing the same number by 67, what will the remainder ?",0,1,2,3,,Answer: Option B,2,1,reasoning,5.0
261,261,"A number when divided successively by 4 and 5 leaves remainders 1 and 4 respectively. When it is successively divided by 5 and 4, then the respective remainders will be","1, 2","2, 3","3, 2","4, 1",,Answer: Option B,2,1,reasoning,5.0
262,262,8796 x 223 + 8796 x 77 = ?,2736900,2638800,2658560,2716740,None of these,Answer: Option B,2,1,reasoning,5.0
263,263,8988 � 8 � 4 = ?,4494,561.75,2247,280.875,None of these,Answer: Option D,1,1,reasoning,4.0
264,264,287 x 287 + 269 x 269 - 2 x 287 x 269 = ?,534,446,354,324,None of these,Answer: Option D,0,1,reasoning,3.0
265,265,3 + 33 + 333 + 3.33 = ?,362.3,372.33,702.33,702,None of these,Answer: Option B,0,1,reasoning,3.0
266,266,Which one of the following can't be the square of natural number ?,30976,75625,28561,143642,None of these,Answer: Option D,2,1,reasoning,5.0
267,267,(1000)9 � 1024 = ?,10000,1000,100,10,None of these,Answer: Option B,2,1,reasoning,5.0
268,268,{(476 + 424)2 - 4 x 476 x 424} = ?,2906,3116,2704,2904,None of these,Answer: Option C,1,1,reasoning,4.0
269,269,What is the unit digit in the product (365 x 659 x 771)?,1,2,4,6,,Answer: Option C,1,1,reasoning,4.0
270,270,3251 + 587 + 369 - ? = 3007,1250,1300,1375,1200,None of these,Answer: Option D,2,1,reasoning,5.0
271,271,7589 - ? = 3434,4242,4155,1123,11023,None of these,Answer: Option B,2,1,reasoning,5.0
272,272,217 x 217 + 183 x 183 = ?,79698,80578,80698,81268,,Answer: Option B,1,1,reasoning,4.0
273,273,The unit digit in the product (784 x 618 x 917 x 463) is:,2,3,4,5,,Answer: Option A,2,1,reasoning,5.0
274,274,"If the number 653 xy is divisible by 90, then (x + y) = ?",2,3,4,6,,Answer: Option C,1,1,reasoning,4.0
275,275,3897 x 999 = ?,3883203,3893103,3639403,3791203,None of these,Answer: Option B,1,1,reasoning,4.0
276,276,What is the unit digit in 7105 ?,1,5,7,9,,Answer: Option C,0,1,reasoning,3.0
277,277,Which of the following numbers will completely divide (461 + 462 + 463 + 464) ?,3,10,11,13,,Answer: Option B,1,1,reasoning,4.0
278,278,106 x 106 - 94 x 94 = ?,2400,2000,1904,1906,None of these,Answer: Option A,1,1,reasoning,4.0
279,279,"If one-third of one-fourth of a number is 15, then three-tenth of that number is:",35,36,45,54,,Answer: Option D,2,1,reasoning,5.0
280,280,Three times the first of three consecutive odd integers is 3 more than twice the third. The third integer is:,9,11,13,15,,Answer: Option D,0,1,reasoning,3.0
281,281,The difference between a two-digit number and the number obtained by interchanging the positions of its digits is 36. What is the difference between the two digits of that number?,3,4,9,Cannot be determined,None of these,Answer: Option B,1,1,reasoning,4.0
282,282,The difference between a two-digit number and the number obtained by interchanging the digits is 36. What is the difference between the sum and the difference of the digits of the number if the ratio between the digits of the number is 1 : 2 ?,4,8,16,None of these,,Answer: Option B,0,1,reasoning,3.0
283,283,"A two-digit number is such that the product of the digits is 8. When 18 is added to the number, then the digits are reversed. The number is:",18,24,42,81,,Answer: Option B,0,1,reasoning,3.0
284,284,The sum of the digits of a two-digit number is 15 and the difference between the digits is 3. What is the two-digit number?,69,78,96,Cannot be determined,None of these,Answer: Option D,1,1,reasoning,4.0
285,285,"The sum of the squares of three numbers is 138, while the sum of their products taken two at a time is 131. Their sum is:",20,30,40,None of these,,Answer: Option A,1,1,reasoning,4.0
286,286,"A number consists of two digits. If the digits interchange places and the new number is added to the original number, then the resulting number will be divisible by:",3,5,9,11,,Answer: Option D,0,1,reasoning,3.0
287,287,"In a two-digit, if it is known that its unit's digit exceeds its ten's digit by 2 and that the product of the given number and the sum of its digits is equal to 144, then the number is:",24,26,42,46,,Answer: Option A,1,1,reasoning,4.0
288,288,Find a positive number which when increased by 17 is equal to 60 times the reciprocal of the number.,3,10,17,20,,Answer: Option A,1,1,reasoning,4.0
289,289,"The product of two numbers is 9375 and the quotient, when the larger one is divided by the smaller, is 15. The sum of the numbers is:",380,395,400,425,,Answer: Option C,0,1,reasoning,3.0
290,290,The product of two numbers is 120 and the sum of their squares is 289. The sum of the number is:,20,23,169,None of these,,Answer: Option B,2,1,reasoning,5.0
291,291,A number consists of 3 digits whose sum is 10. The middle digit is equal to the sum of the other two and the number will be increased by 99 if its digits are reversed. The number is:,145,253,370,352,,Answer: Option B,2,1,reasoning,5.0
292,292,The sum of two number is 25 and their difference is 13. Find their product.,104,114,315,325,,Answer: Option B,2,1,reasoning,5.0
293,293,"What is the sum of two consecutive even numbers, the difference of whose squares is 84?",34,38,42,46,,Answer: Option C,2,1,reasoning,5.0
294,294,5358 x 51 = ?,273258,273268,273348,273358,,Answer: Option A,1,1,reasoning,4.0
295,295,The sum of first five prime numbers is:,11,18,26,28,,Answer: Option D,0,1,reasoning,3.0
296,296,"The difference of two numbers is 1365. On dividing the larger number by the smaller, we get 6 as quotient and the 15 as remainder. What is the smaller number ?",240,270,295,360,,Answer: Option B,2,1,reasoning,5.0
297,297,(12)3 x 64 � 432 = ?,5184,5060,5148,5084,None of these,Answer: Option A,1,1,reasoning,4.0
298,298,72519 x 9999 = ?,725117481,674217481,685126481,696217481,None of these,Answer: Option A,2,1,reasoning,5.0
299,299,"If the number 517*324 is completely divisible by 3, then the smallest whole number in the place of * will be:",0,1,2,None of these,,Answer: Option C,1,1,reasoning,4.0
300,300,The smallest 3 digit prime number is:,101,103,109,113,,Answer: Option A,0,1,reasoning,3.0
301,301,Which one of the following numbers is exactly divisible by 11?,235641,245642,315624,415624,,Answer: Option D,1,1,reasoning,4.0
302,302,(?) - 19657 - 33994 = 9999,63650,53760,59640,61560,None of these,Answer: Option A,2,1,reasoning,5.0
303,303,The sum of first 45 natural numbers is:,1035,1280,2070,2140,,Answer: Option A,2,1,reasoning,5.0
304,304,Which of the following number is divisible by 24 ?,35718,63810,537804,3125736,,Answer: Option D,0,1,reasoning,3.0
305,305,"753 x 753 + 247 x 247 - 753 x 247 = ?
753 x 753 x 753 + 247 x 247 x 247","1
1000","1
506","253
500",None of these,,Answer: Option A,2,1,reasoning,5.0
306,306,(?) + 3699 + 1985 - 2047 = 31111,34748,27474,30154,27574,None of these,Answer: Option B,1,1,reasoning,4.0
307,307,"If the number 481 * 673 is completely divisible by 9, then the smallest whole number in place of * will be:",2,5,6,7,None of these,Answer: Option D,0,1,reasoning,3.0
308,308,The difference between the local value and the face value of 7 in the numeral 32675149 is,75142,64851,5149,69993,None of these,Answer: Option D,2,1,reasoning,5.0
309,309,The difference between a positive proper fraction and its reciprocal is 9/20. The fraction is:,"3
5","3
10","4
5","4
3",,Answer: Option C,0,1,reasoning,3.0
310,310,"On dividing a number by 56, we get 29 as remainder. On dividing the same number by 8, what will be the remainder ?",4,5,6,7,,Answer: Option B,2,1,reasoning,5.0
311,311,"If n is a natural number, then (6n2 + 6n) is always divisible by:",6 only,6 and 12 both,12 only,by 18 only,,Answer: Option B,2,1,reasoning,5.0
312,312,107 x 107 + 93 x 93 = ?,19578,19418,20098,21908,None of these,Answer: Option C,2,1,reasoning,5.0
313,313,What will be remainder when (6767 + 67) is divided by 68 ?,1,63,66,67,,Answer: Option C,1,1,reasoning,4.0
314,314,"On dividing a number by 5, we get 3 as remainder. What will the remainder when the square of the this number is divided by 5 ?",0,1,2,4,,Answer: Option D,1,1,reasoning,4.0
315,315,How many 3-digit numbers are completely divisible 6 ?,149,150,151,166,,Answer: Option B,2,1,reasoning,5.0
316,316,How many natural numbers are there between 23 and 100 which are exactly divisible by 6 ?,8,11,12,13,None of these,Answer: Option D,1,1,reasoning,4.0
317,317,"How many of the following numbers are divisible by 3 but not by 9 ?
2133, 2343, 3474, 4131, 5286, 5340, 6336, 7347, 8115, 9276",5,6,7,None of these,,Answer: Option B,2,1,reasoning,5.0
318,318,"(963 + 476)2 + (963 - 476)2 = ?
(963 x 963 + 476 x 476)",1449,497,2,4,None of these,Answer: Option C,0,1,reasoning,3.0
319,319,How many 3 digit numbers are divisible by 6 in all ?,149,150,151,166,,Answer: Option B,0,1,reasoning,3.0
320,320,"A 3-digit number 4a3 is added to another 3-digit number 984 to give a 4-digit number 13b7, which is divisible by 11. Then, (a + b) = ?",10,11,12,15,,Answer: Option A,2,1,reasoning,5.0
321,321,8597 - ? = 7429 - 4358,5426,5706,5526,5476,None of these,Answer: Option C,0,1,reasoning,3.0
322,322,The smallest prime number is:,1,2,3,4,,Answer: Option B,1,1,reasoning,4.0
323,323,(12345679 x 72) = ?,88888888,888888888,898989898,9999999998,,Answer: Option B,0,1,reasoning,3.0
324,324,"On dividing a number by 357, we get 39 as remainder. On dividing the same number 17, what will be the remainder ?",0,3,5,11,,Answer: Option C,2,1,reasoning,5.0
325,325,"If the product 4864 x 9 P 2 is divisible by 12, then the value of P is:",2,5,6,8,None of these,Answer: Option E,0,1,reasoning,3.0
326,326,Which one of the following is the common factor of (4743 + 4343) and (4747 + 4347) ?,(47 - 43),(47 + 43),(4743 + 4343),None of these,,Answer: Option B,1,1,reasoning,4.0
327,327,-84 x 29 + 365 = ?,2436,2801,-2801,-2071,None of these,Answer: Option D,1,1,reasoning,4.0
328,328,"A number when divided by 296 leaves 75 as remainder. When the same number is divided by 37, the remainder will be:",1,2,8,11,,Answer: Option A,0,1,reasoning,3.0
329,329,"In dividing a number by 585, a student employed the method of short division. He divided the number successively by 5, 9 and 13 (factors 585) and got the remainders 4, 8, 12 respectively. If he had divided the number by 585, the remainder would have been",24,144,292,584,,Answer: Option D,1,1,reasoning,4.0
330,330,"In a division sum, the divisor is 10 times the quotient and 5 times the remainder. If the remainder is 46, what is the dividend ?",4236,4306,4336,5336,None of these,Answer: Option D,1,1,reasoning,4.0
331,331,4500 x ? = 3375,"2
5","3
4","1
4","3
5",None of these,Answer: Option B,2,1,reasoning,5.0
332,332,What smallest number should be added to 4456 so that the sum is completely divisible by 6 ?,4,3,2,1,None of these,Answer: Option C,2,1,reasoning,5.0
333,333,"What least number must be subtracted from 13601, so that the remainder is divisible by 87 ?",23,31,29,37,49,Answer: Option C,0,1,reasoning,3.0
334,334,476 ** 0 is divisible by both 3 and 11. The non-zero digits in the hundred's and ten's places are respectively:,7 and 4,7 and 5,8 and 5,None of these,,Answer: Option C,2,1,reasoning,5.0
335,335,"If the number 97215 * 6 is completely divisible by 11, then the smallest whole number in place of * will be:",3,2,1,5,None of these,Answer: Option A,0,1,reasoning,3.0
336,336,(112 + 122 + 132 + ... + 202) = ?,385,2485,2870,3255,,Answer: Option B,2,1,reasoning,5.0
337,337,"If the number 5 * 2 is divisible by 6, then * = ?",2,3,6,7,,Answer: Option A,1,1,reasoning,4.0
338,338,Which of the following numbers will completely divide (4915 - 1) ?,8,14,46,50,,Answer: Option A,0,1,reasoning,3.0
339,339,"9 + 3 + 7 + 2 - 9 + 1 = ?
4 17 15","7 + 719
1020","9 + 817
1020","9 + 719
1020","7 + 817
1020",None of these,Answer: Option D,2,1,reasoning,5.0
340,340,"1 - 1 + 1 - 2 + 1 - 3 + ... up to n terms = ?
n n n","1 n
2","1 (n - 1)
2","1 n(n - 1)
2",None of these,,Answer: Option B,0,1,reasoning,3.0
