,cid,qno,type,qid,diff_level,res_time,correctness,next_diff
2119,70,9,1,264,easy,28,0,easy
2120,70,0,2,431,medium,54,1,medium
2121,70,1,2,445,medium,32,1,medium
2122,70,2,2,571,medium,26,0,easy
2123,70,3,2,577,easy,30,1,easy
2124,70,4,2,554,easy,19,0,easy
2125,70,5,2,513,easy,6,1,medium
2126,70,6,2,528,medium,6,0,medium
2127,70,7,2,645,medium,15,0,medium
2128,70,8,2,450,medium,15,1,hard
2129,70,9,2,614,hard,42,0,medium
2130,71,0,0,158,medium,27,1,medium
2131,71,1,0,63,medium,58,0,easy
2132,71,2,0,142,easy,39,0,easy
2133,71,3,0,10,easy,49,1,easy
2134,71,4,0,211,easy,57,0,easy
2135,71,5,0,201,easy,46,1,easy
2136,71,6,0,112,easy,24,1,easy
2137,71,7,0,67,easy,32,1,easy
2138,71,8,0,44,easy,51,0,easy
2139,71,9,0,153,easy,45,0,easy
2140,71,0,1,418,medium,48,0,easy
2141,71,1,1,408,easy,30,1,easy
2142,71,2,1,362,easy,39,1,easy
2143,71,3,1,241,easy,55,0,easy
2144,71,4,1,346,easy,55,0,easy
2145,71,5,1,295,easy,42,1,easy
2146,71,6,1,309,easy,16,1,medium
2147,71,7,1,306,medium,36,0,easy
2148,71,8,1,392,easy,38,0,easy
2149,71,9,1,414,easy,37,1,easy
2150,71,0,2,446,medium,53,0,easy
2151,71,1,2,572,easy,35,0,easy
2152,71,2,2,602,easy,7,0,easy
2153,71,3,2,616,easy,5,1,medium
2154,71,4,2,456,medium,41,0,easy
2155,71,5,2,437,easy,26,0,easy
2156,71,6,2,598,easy,57,0,easy
2157,71,7,2,544,easy,27,0,easy
2158,71,8,2,441,easy,7,0,easy
2159,71,9,2,610,easy,11,0,easy
2160,72,0,0,25,medium,39,0,easy
2161,72,1,0,176,easy,25,1,easy
2162,72,2,0,10,easy,21,1,easy
2163,72,3,0,74,easy,21,1,easy
2164,72,4,0,147,easy,39,1,easy
2165,72,5,0,159,easy,48,0,easy
2166,72,6,0,169,easy,16,1,medium
2167,72,7,0,108,medium,45,0,easy
2168,72,8,0,67,easy,15,1,medium
2169,72,9,0,100,medium,25,0,easy
2170,72,0,1,353,medium,33,0,easy
2171,72,1,1,373,easy,22,1,easy
2172,72,2,1,257,easy,12,0,easy
2173,72,3,1,318,easy,39,0,easy
2174,72,4,1,370,easy,45,1,easy
2175,72,5,1,300,easy,31,1,easy
2176,72,6,1,243,easy,54,0,easy
2177,72,7,1,276,easy,12,1,medium
2178,72,8,1,406,medium,44,1,medium
2179,72,9,1,259,medium,27,1,medium
2180,72,0,2,648,medium,10,1,hard
2181,72,1,2,491,hard,46,1,hard
2182,72,2,2,562,hard,20,0,medium
2183,72,3,2,646,medium,8,1,hard
2184,72,4,2,476,hard,55,0,medium
2185,72,5,2,434,medium,31,0,easy
2186,72,6,2,458,easy,44,1,easy
2187,72,7,2,441,easy,11,1,medium
2188,72,8,2,642,medium,54,1,medium
2189,72,9,2,566,medium,13,1,hard
2190,73,0,0,121,medium,55,0,easy
2191,73,1,0,11,easy,15,0,easy
2192,73,2,0,103,easy,46,1,easy
2193,73,3,0,128,easy,42,0,easy
2194,73,4,0,199,easy,31,1,easy
2195,73,5,0,111,easy,53,0,easy
2196,73,6,0,131,easy,46,1,easy
2197,73,7,0,29,easy,24,1,easy
2198,73,8,0,176,easy,5,0,easy
2199,73,9,0,15,easy,45,1,easy
2200,73,0,1,232,medium,34,0,easy
2201,73,1,1,289,easy,45,1,easy
2202,73,2,1,276,easy,47,0,easy
2203,73,3,1,405,easy,5,0,easy
2204,73,4,1,399,easy,34,0,easy
2205,73,5,1,366,easy,12,0,easy
2206,73,6,1,370,easy,20,0,easy
2207,73,7,1,383,easy,12,0,easy
2208,73,8,1,345,easy,27,0,easy
2209,73,9,1,388,easy,22,0,easy
2210,73,0,2,618,medium,53,0,easy
2211,73,1,2,477,easy,33,0,easy
2212,73,2,2,593,easy,12,1,medium
2213,73,3,2,528,medium,28,0,easy
2214,73,4,2,521,easy,6,1,medium
2215,73,5,2,548,medium,44,1,medium
2216,73,6,2,442,medium,25,1,medium
2217,73,7,2,591,medium,23,1,medium
2218,73,8,2,542,medium,25,1,medium
2219,73,9,2,479,medium,7,0,medium
2220,74,0,0,61,medium,52,0,easy
2221,74,1,0,176,easy,50,0,easy
2222,74,2,0,206,easy,33,1,easy
2223,74,3,0,212,easy,29,1,easy
2224,74,4,0,111,easy,47,0,easy
2225,74,5,0,209,easy,22,0,easy
2226,74,6,0,203,easy,25,0,easy
2227,74,7,0,131,easy,56,0,easy
2228,74,8,0,211,easy,40,1,easy
2229,74,9,0,117,easy,43,1,easy
2230,74,0,1,418,medium,19,1,hard
2231,74,1,1,317,hard,19,0,medium
2232,74,2,1,234,medium,46,1,medium
2233,74,3,1,294,medium,7,1,hard
2234,74,4,1,311,hard,18,0,medium
2235,74,5,1,409,medium,58,0,easy
2236,74,6,1,307,easy,51,1,easy
2237,74,7,1,396,easy,47,1,easy
2238,74,8,1,237,easy,60,0,easy
2239,74,9,1,424,easy,47,1,easy
2240,74,0,2,531,medium,14,0,medium
2241,74,1,2,483,medium,57,1,medium
2242,74,2,2,501,medium,34,1,medium
2243,74,3,2,548,medium,5,1,hard
2244,74,4,2,489,hard,38,0,medium
2245,74,5,2,648,medium,8,1,hard
2246,74,6,2,574,hard,20,0,medium
2247,74,7,2,571,medium,6,1,hard
2248,74,8,2,453,hard,16,1,hard
2249,74,9,2,623,hard,22,1,hard
2250,75,0,0,202,medium,6,0,medium
2251,75,1,0,208,medium,31,0,easy
2252,75,2,0,45,easy,22,1,easy
2253,75,3,0,7,easy,29,0,easy
2254,75,4,0,80,easy,49,1,easy
2255,75,5,0,116,easy,40,1,easy
2256,75,6,0,44,easy,9,0,easy
2257,75,7,0,169,easy,45,1,easy
2258,75,8,0,67,easy,14,1,medium
2259,75,9,0,53,medium,24,1,medium
2260,75,0,1,406,medium,40,0,easy
2261,75,1,1,286,easy,54,0,easy
2262,75,2,1,245,easy,17,1,medium
2263,75,3,1,272,medium,6,0,medium
2264,75,4,1,380,medium,39,1,medium
2265,75,5,1,263,medium,24,1,medium
2266,75,6,1,234,medium,25,1,medium
2267,75,7,1,294,medium,12,1,hard
2268,75,8,1,292,hard,60,0,medium
2269,75,9,1,381,medium,47,0,easy
2270,75,0,2,542,medium,59,0,easy
2271,75,1,2,452,easy,19,0,easy
2272,75,2,2,474,easy,50,1,easy
2273,75,3,2,605,easy,34,1,easy
2274,75,4,2,546,easy,23,0,easy
2275,75,5,2,503,easy,59,0,easy
2276,75,6,2,432,easy,58,1,easy
2277,75,7,2,583,easy,58,1,easy
2278,75,8,2,464,easy,13,0,easy
2279,75,9,2,615,easy,11,1,medium
2280,76,0,0,210,medium,58,0,easy
2281,76,1,0,206,easy,24,1,easy
2282,76,2,0,42,easy,26,1,easy
2283,76,3,0,153,easy,44,1,easy
2284,76,4,0,103,easy,49,0,easy
2285,76,5,0,183,easy,31,0,easy
2286,76,6,0,80,easy,57,1,easy
2287,76,7,0,128,easy,50,0,easy
2288,76,8,0,10,easy,48,0,easy
2289,76,9,0,166,easy,39,0,easy
2290,76,0,1,244,medium,31,0,easy
2291,76,1,1,340,easy,39,1,easy
2292,76,2,1,300,easy,44,0,easy
2293,76,3,1,383,easy,46,1,easy
2294,76,4,1,264,easy,55,1,easy
2295,76,5,1,394,easy,5,1,medium
2296,76,6,1,344,medium,12,1,hard
2297,76,7,1,271,hard,34,1,hard
2298,76,8,1,255,hard,46,0,medium
2299,76,9,1,351,medium,10,1,hard
2300,76,0,2,578,medium,59,1,medium
2301,76,1,2,512,medium,52,1,medium
2302,76,2,2,549,medium,39,1,medium
2303,76,3,2,478,medium,44,0,easy
2304,76,4,2,506,easy,52,1,easy
2305,76,5,2,603,easy,20,0,easy
2306,76,6,2,472,easy,20,0,easy
2307,76,7,2,458,easy,47,0,easy
2308,76,8,2,573,easy,52,0,easy
2309,76,9,2,452,easy,25,0,easy
2310,77,0,0,24,medium,16,0,medium
2311,77,1,0,187,medium,17,0,medium
2312,77,2,0,202,medium,60,1,medium
2313,77,3,0,150,medium,36,1,medium
2314,77,4,0,47,medium,30,1,medium
2315,77,5,0,158,medium,48,0,easy
2316,77,6,0,95,easy,23,1,easy
2317,77,7,0,59,easy,6,0,easy
2318,77,8,0,131,easy,45,1,easy
2319,77,9,0,70,easy,46,0,easy
2320,77,0,1,401,medium,25,1,medium
2321,77,1,1,299,medium,7,0,medium
2322,77,2,1,426,medium,29,1,medium
2323,77,3,1,330,medium,45,0,easy
2324,77,4,1,229,easy,15,1,medium
2325,77,5,1,418,medium,53,1,medium
2326,77,6,1,322,medium,28,0,easy
2327,77,7,1,335,easy,6,0,easy
2328,77,8,1,289,easy,18,0,easy
2329,77,9,1,338,easy,7,0,easy
2330,77,0,2,578,medium,56,0,easy
2331,77,1,2,597,easy,57,1,easy
2332,77,2,2,558,easy,43,0,easy
2333,77,3,2,487,easy,40,0,easy
2334,77,4,2,611,easy,39,0,easy
2335,77,5,2,547,easy,52,0,easy
2336,77,6,2,573,easy,18,1,medium
2337,77,7,2,619,medium,48,0,easy
2338,77,8,2,633,easy,53,0,easy
2339,77,9,2,537,easy,11,1,medium
2340,78,0,0,76,medium,32,0,easy
2341,78,1,0,193,easy,45,0,easy
2342,78,2,0,168,easy,10,0,easy
2343,78,3,0,6,easy,18,1,medium
2344,78,4,0,180,medium,29,0,easy
2345,78,5,0,48,easy,34,0,easy
2346,78,6,0,9,easy,48,0,easy
2347,78,7,0,211,easy,27,0,easy
2348,78,8,0,95,easy,25,0,easy
2349,78,9,0,88,easy,34,0,easy
2350,78,0,1,238,medium,6,1,hard
2351,78,1,1,248,hard,57,1,hard
2352,78,2,1,331,hard,13,1,hard
2353,78,3,1,387,hard,35,1,hard
2354,78,4,1,270,hard,49,1,hard
2355,78,5,1,400,hard,48,1,hard
2356,78,6,1,386,hard,5,1,hard
2357,78,7,1,291,hard,57,0,medium
2358,78,8,1,240,medium,33,1,medium
2359,78,9,1,347,medium,25,1,medium
2360,78,0,2,450,medium,42,0,easy
2361,78,1,2,510,easy,9,1,medium
2362,78,2,2,571,medium,17,1,hard
2363,78,3,2,484,hard,56,0,medium
2364,78,4,2,621,medium,43,1,medium
2365,78,5,2,646,medium,22,0,easy
2366,78,6,2,468,easy,42,1,easy
2367,78,7,2,615,easy,53,1,easy
2368,78,8,2,477,easy,24,1,easy
2369,78,9,2,447,easy,44,0,easy
2370,79,0,0,33,medium,25,0,easy
2371,79,1,0,67,easy,58,0,easy
2372,79,2,0,48,easy,59,0,easy
2373,79,3,0,6,easy,27,0,easy
2374,79,4,0,176,easy,50,1,easy
2375,79,5,0,213,easy,52,1,easy
2376,79,6,0,153,easy,8,0,easy
2377,79,7,0,15,easy,37,1,easy
2378,79,8,0,29,easy,60,1,easy
2379,79,9,0,74,easy,45,0,easy
2380,79,0,1,220,medium,10,1,hard
2381,79,1,1,221,hard,8,0,medium
2382,79,2,1,429,medium,46,1,medium
2383,79,3,1,297,medium,57,1,medium
2384,79,4,1,376,medium,31,0,easy
2385,79,5,1,425,easy,10,0,easy
2386,79,6,1,254,easy,34,0,easy
2387,79,7,1,372,easy,38,0,easy
2388,79,8,1,333,easy,10,1,medium
2389,79,9,1,269,medium,48,0,easy
2390,79,0,2,650,medium,32,0,easy
2391,79,1,2,444,easy,16,1,medium
2392,79,2,2,431,medium,30,0,easy
2393,79,3,2,508,easy,17,0,easy
2394,79,4,2,602,easy,7,1,medium
2395,79,5,2,539,medium,57,1,medium
2396,79,6,2,591,medium,33,1,medium
2397,79,7,2,534,medium,23,0,easy
2398,79,8,2,535,easy,38,1,easy
2399,79,9,2,556,easy,30,0,easy
2400,80,0,0,85,medium,36,0,easy
2401,80,1,0,184,easy,60,0,easy
2402,80,2,0,178,easy,48,1,easy
2403,80,3,0,196,easy,58,0,easy
2404,80,4,0,159,easy,12,0,easy
2405,80,5,0,2,easy,29,1,easy
2406,80,6,0,88,easy,32,0,easy
2407,80,7,0,10,easy,47,1,easy
2408,80,8,0,22,easy,44,0,easy
2409,80,9,0,212,easy,23,0,easy
2410,80,0,1,313,medium,10,1,hard
2411,80,1,1,404,hard,12,0,medium
2412,80,2,1,258,medium,48,1,medium
2413,80,3,1,263,medium,11,0,medium
2414,80,4,1,326,medium,59,0,easy
2415,80,5,1,245,easy,58,0,easy
2416,80,6,1,399,easy,42,0,easy
2417,80,7,1,362,easy,10,1,medium
2418,80,8,1,416,medium,45,0,easy
2419,80,9,1,425,easy,27,1,easy
2420,80,0,2,456,medium,44,0,easy
2421,80,1,2,495,easy,38,0,easy
2422,80,2,2,506,easy,36,0,easy
2423,80,3,2,554,easy,27,1,easy
2424,80,4,2,622,easy,37,0,easy
2425,80,5,2,463,easy,57,0,easy
2426,80,6,2,541,easy,19,1,medium
2427,80,7,2,475,medium,34,0,easy
2428,80,8,2,458,easy,28,1,easy
2429,80,9,2,605,easy,59,0,easy
2430,81,0,0,205,medium,35,1,medium
2431,81,1,0,120,medium,31,1,medium
2432,81,2,0,63,medium,22,1,medium
2433,81,3,0,129,medium,44,0,easy
2434,81,4,0,22,easy,5,1,medium
2435,81,5,0,173,medium,36,0,easy
2436,81,6,0,2,easy,43,0,easy
2437,81,7,0,48,easy,12,0,easy
2438,81,8,0,11,easy,11,1,medium
2439,81,9,0,34,medium,30,0,easy
2440,81,0,1,403,medium,28,1,medium
2441,81,1,1,406,medium,54,1,medium
2442,81,2,1,415,medium,55,1,medium
2443,81,3,1,272,medium,40,1,medium
2444,81,4,1,287,medium,56,0,easy
2445,81,5,1,245,easy,39,1,easy
2446,81,6,1,342,easy,15,1,medium
2447,81,7,1,344,medium,32,0,easy
2448,81,8,1,405,easy,48,1,easy
2449,81,9,1,385,easy,34,1,easy
2450,81,0,2,434,medium,59,0,easy
2451,81,1,2,558,easy,25,0,easy
2452,81,2,2,486,easy,46,0,easy
2453,81,3,2,544,easy,26,1,easy
2454,81,4,2,634,easy,39,1,easy
2455,81,5,2,506,easy,59,1,easy
2456,81,6,2,519,easy,35,0,easy
2457,81,7,2,447,easy,58,1,easy
2458,81,8,2,432,easy,14,1,medium
2459,81,9,2,599,medium,28,1,medium
2460,82,0,0,28,medium,38,0,easy
2461,82,1,0,123,easy,26,0,easy
2462,82,2,0,15,easy,51,0,easy
2463,82,3,0,178,easy,16,0,easy
2464,82,4,0,6,easy,46,1,easy
2465,82,5,0,153,easy,45,0,easy
2466,82,6,0,193,easy,34,0,easy
2467,82,7,0,162,easy,40,0,easy
2468,82,8,0,211,easy,45,1,easy
2469,82,9,0,67,easy,43,1,easy
2470,82,0,1,409,medium,8,1,hard
2471,82,1,1,349,hard,55,1,hard
2472,82,2,1,354,hard,33,1,hard
2473,82,3,1,246,hard,59,0,medium
2474,82,4,1,406,medium,12,0,medium
2475,82,5,1,322,medium,8,0,medium
2476,82,6,1,256,medium,22,1,medium
2477,82,7,1,413,medium,21,0,easy
2478,82,8,1,319,easy,57,1,easy
2479,82,9,1,321,easy,20,1,medium
2480,82,0,2,528,medium,17,1,hard
2481,82,1,2,564,hard,8,1,hard
2482,82,2,2,595,hard,56,0,medium
2483,82,3,2,449,medium,56,1,medium
2484,82,4,2,612,medium,24,0,easy
2485,82,5,2,573,easy,11,1,medium
2486,82,6,2,578,medium,47,1,medium
2487,82,7,2,576,medium,32,1,medium
2488,82,8,2,461,medium,53,0,easy
2489,82,9,2,606,easy,44,0,easy
2490,83,0,0,137,medium,47,0,easy
2491,83,1,0,128,easy,29,0,easy
2492,83,2,0,4,easy,53,0,easy
2493,83,3,0,212,easy,42,0,easy
2494,83,4,0,58,easy,16,0,easy
2495,83,5,0,77,easy,6,0,easy
2496,83,6,0,48,easy,23,1,easy
2497,83,7,0,184,easy,15,1,medium
2498,83,8,0,134,medium,47,0,easy
2499,83,9,0,213,easy,39,1,easy
2500,83,0,1,281,medium,56,1,medium
2501,83,1,1,326,medium,57,0,easy
2502,83,2,1,309,easy,10,1,medium
2503,83,3,1,258,medium,56,1,medium
2504,83,4,1,244,medium,26,0,easy
2505,83,5,1,264,easy,47,0,easy
2506,83,6,1,289,easy,51,1,easy
2507,83,7,1,283,easy,36,1,easy
2508,83,8,1,335,easy,58,1,easy
2509,83,9,1,245,easy,12,1,medium
2510,83,0,2,576,medium,8,0,medium
2511,83,1,2,549,medium,45,0,easy
2512,83,2,2,514,easy,54,0,easy
2513,83,3,2,635,easy,6,1,medium
2514,83,4,2,626,medium,49,1,medium
2515,83,5,2,581,medium,56,1,medium
2516,83,6,2,439,medium,58,0,easy
2517,83,7,2,543,easy,25,1,easy
2518,83,8,2,523,easy,43,0,easy
2519,83,9,2,622,easy,43,1,easy
2520,84,0,0,141,medium,5,0,medium
2521,84,1,0,47,medium,35,1,medium
2522,84,2,0,175,medium,21,1,medium
2523,84,3,0,173,medium,40,1,medium
2524,84,4,0,24,medium,23,1,medium
2525,84,5,0,71,medium,11,0,medium
2526,84,6,0,51,medium,54,1,medium
2527,84,7,0,79,medium,26,0,easy
2528,84,8,0,162,easy,26,1,easy
2529,84,9,0,67,easy,7,1,medium
2530,84,0,1,215,medium,11,0,medium
2531,84,1,1,416,medium,26,0,easy
2532,84,2,1,394,easy,31,0,easy
2533,84,3,1,307,easy,48,1,easy
2534,84,4,1,289,easy,28,0,easy
2535,84,5,1,366,easy,31,0,easy
2536,84,6,1,304,easy,58,1,easy
2537,84,7,1,350,easy,38,0,easy
2538,84,8,1,218,easy,29,1,easy
2539,84,9,1,345,easy,54,0,easy
2540,84,0,2,483,medium,10,1,hard
2541,84,1,2,561,hard,44,1,hard
2542,84,2,2,609,hard,58,0,medium
2543,84,3,2,439,medium,15,1,hard
2544,84,4,2,580,hard,47,0,medium
2545,84,5,2,434,medium,18,1,hard
2546,84,6,2,623,hard,34,1,hard
2547,84,7,2,641,hard,19,1,hard
2548,84,8,2,624,hard,58,0,medium
2549,84,9,2,505,medium,56,1,medium
2550,85,0,0,150,medium,14,1,hard
2551,85,1,0,143,hard,27,0,medium
2552,85,2,0,92,medium,50,1,medium
2553,85,3,0,62,medium,13,0,medium
2554,85,4,0,121,medium,34,0,easy
2555,85,5,0,151,easy,33,0,easy
2556,85,6,0,162,easy,7,1,medium
2557,85,7,0,41,medium,46,1,medium
2558,85,8,0,72,medium,26,1,medium
2559,85,9,0,81,medium,20,0,medium
2560,85,0,1,215,medium,46,0,easy
2561,85,1,1,417,easy,39,0,easy
2562,85,2,1,236,easy,10,1,medium
2563,85,3,1,297,medium,54,0,easy
2564,85,4,1,309,easy,54,0,easy
2565,85,5,1,243,easy,34,1,easy
2566,85,6,1,282,easy,31,0,easy
2567,85,7,1,425,easy,47,0,easy
2568,85,8,1,342,easy,57,0,easy
2569,85,9,1,237,easy,12,0,easy
2570,85,0,2,619,medium,55,1,medium
2571,85,1,2,581,medium,13,1,hard
2572,85,2,2,562,hard,33,1,hard
2573,85,3,2,589,hard,16,1,hard
2574,85,4,2,594,hard,46,1,hard
2575,85,5,2,584,hard,44,1,hard
2576,85,6,2,480,hard,60,0,medium
2577,85,7,2,483,medium,16,0,medium
2578,85,8,2,499,medium,58,0,easy
2579,85,9,2,519,easy,9,1,medium
2580,86,0,0,62,medium,42,0,easy
2581,86,1,0,117,easy,12,0,easy
2582,86,2,0,7,easy,6,0,easy
2583,86,3,0,209,easy,42,1,easy
2584,86,4,0,48,easy,27,0,easy
2585,86,5,0,10,easy,58,1,easy
2586,86,6,0,22,easy,43,0,easy
2587,86,7,0,42,easy,9,0,easy
2588,86,8,0,189,easy,37,1,easy
2589,86,9,0,9,easy,34,1,easy
2590,86,0,1,347,medium,15,1,hard
2591,86,1,1,411,hard,59,0,medium
2592,86,2,1,294,medium,18,0,medium
2593,86,3,1,384,medium,14,0,medium
2594,86,4,1,251,medium,18,0,medium
2595,86,5,1,277,medium,58,1,medium
2596,86,6,1,327,medium,30,0,easy
2597,86,7,1,392,easy,43,0,easy
2598,86,8,1,340,easy,10,0,easy
2599,86,9,1,417,easy,46,1,easy
2600,86,0,2,534,medium,18,1,hard
2601,86,1,2,496,hard,45,1,hard
2602,86,2,2,550,hard,57,1,hard
2603,86,3,2,563,hard,15,0,medium
2604,86,4,2,642,medium,23,0,easy
2605,86,5,2,436,easy,20,0,easy
2606,86,6,2,558,easy,29,1,easy
2607,86,7,2,554,easy,38,0,easy
2608,86,8,2,510,easy,38,0,easy
2609,86,9,2,486,easy,6,1,medium
2610,87,0,0,72,medium,21,1,medium
2611,87,1,0,186,medium,33,0,easy
2612,87,2,0,147,easy,31,0,easy
2613,87,3,0,67,easy,30,1,easy
2614,87,4,0,185,easy,5,1,medium
2615,87,5,0,121,medium,21,1,medium
2616,87,6,0,180,medium,58,1,medium
2617,87,7,0,52,medium,37,0,easy
2618,87,8,0,169,easy,51,0,easy
2619,87,9,0,80,easy,8,1,medium
2620,87,0,1,301,medium,21,0,easy
2621,87,1,1,374,easy,48,1,easy
2622,87,2,1,252,easy,14,0,easy
2623,87,3,1,264,easy,57,0,easy
2624,87,4,1,393,easy,35,0,easy
2625,87,5,1,229,easy,42,1,easy
2626,87,6,1,407,easy,15,0,easy
2627,87,7,1,276,easy,11,1,medium
2628,87,8,1,337,medium,7,0,medium
2629,87,9,1,402,medium,37,0,easy
2630,87,0,2,636,medium,18,0,medium
2631,87,1,2,581,medium,5,0,medium
2632,87,2,2,604,medium,50,1,medium
2633,87,3,2,456,medium,40,1,medium
2634,87,4,2,591,medium,48,1,medium
2635,87,5,2,469,medium,6,1,hard
2636,87,6,2,536,hard,24,1,hard
2637,87,7,2,484,hard,47,1,hard
2638,87,8,2,638,hard,34,1,hard
2639,87,9,2,526,hard,14,1,hard
2640,88,0,0,118,medium,29,1,medium
2641,88,1,0,114,medium,54,1,medium
2642,88,2,0,121,medium,59,1,medium
2643,88,3,0,52,medium,8,1,hard
2644,88,4,0,69,hard,36,1,hard
2645,88,5,0,170,hard,48,1,hard
2646,88,6,0,3,hard,54,0,medium
2647,88,7,0,110,medium,24,1,medium
2648,88,8,0,171,medium,60,1,medium
2649,88,9,0,24,medium,18,0,medium
2650,88,0,1,224,medium,33,1,medium
2651,88,1,1,330,medium,57,0,easy
2652,88,2,1,254,easy,45,1,easy
2653,88,3,1,340,easy,28,0,easy
2654,88,4,1,365,easy,31,1,easy
2655,88,5,1,319,easy,28,0,easy
2656,88,6,1,283,easy,25,1,easy
2657,88,7,1,390,easy,60,1,easy
2658,88,8,1,370,easy,28,1,easy
2659,88,9,1,350,easy,26,1,easy
2660,88,0,2,456,medium,27,1,medium
2661,88,1,2,542,medium,25,0,easy
2662,88,2,2,486,easy,45,0,easy
2663,88,3,2,519,easy,46,0,easy
2664,88,4,2,521,easy,46,0,easy
2665,88,5,2,508,easy,18,0,easy
2666,88,6,2,602,easy,34,1,easy
2667,88,7,2,522,easy,40,0,easy
2668,88,8,2,495,easy,50,0,easy
2669,88,9,2,625,easy,51,1,easy
2670,89,0,0,208,medium,46,0,easy
2671,89,1,0,58,easy,6,1,medium
2672,89,2,0,179,medium,26,0,easy
2673,89,3,0,142,easy,51,1,easy
2674,89,4,0,201,easy,58,0,easy
2675,89,5,0,46,easy,18,0,easy
2676,89,6,0,206,easy,17,1,medium
2677,89,7,0,100,medium,59,1,medium
2678,89,8,0,173,medium,11,1,hard
2679,89,9,0,144,hard,39,0,medium
2680,89,0,1,251,medium,6,1,hard
2681,89,1,1,308,hard,38,0,medium
2682,89,2,1,263,medium,25,1,medium
2683,89,3,1,224,medium,40,1,medium
2684,89,4,1,429,medium,29,0,easy
2685,89,5,1,335,easy,53,1,easy
2686,89,6,1,218,easy,7,1,medium
2687,89,7,1,344,medium,22,0,easy
2688,89,8,1,366,easy,13,1,medium
2689,89,9,1,306,medium,48,0,easy
2690,89,0,2,492,medium,9,1,hard
2691,89,1,2,462,hard,28,0,medium
2692,89,2,2,482,medium,44,0,easy
2693,89,3,2,438,easy,49,1,easy
2694,89,4,2,521,easy,40,1,easy
2695,89,5,2,513,easy,41,1,easy
2696,89,6,2,616,easy,31,1,easy
2697,89,7,2,506,easy,6,0,easy
2698,89,8,2,593,easy,47,1,easy
2699,89,9,2,577,easy,48,1,easy
2700,90,0,0,146,medium,19,0,medium
2701,90,1,0,120,medium,48,0,easy
2702,90,2,0,67,easy,12,0,easy
2703,90,3,0,117,easy,52,1,easy
2704,90,4,0,11,easy,23,0,easy
2705,90,5,0,59,easy,48,1,easy
2706,90,6,0,203,easy,30,0,easy
2707,90,7,0,45,easy,32,0,easy
2708,90,8,0,58,easy,32,1,easy
2709,90,9,0,201,easy,34,1,easy
2710,90,0,1,415,medium,9,0,medium
2711,90,1,1,413,medium,53,0,easy
2712,90,2,1,399,easy,56,0,easy
2713,90,3,1,295,easy,51,0,easy
2714,90,4,1,340,easy,43,0,easy
2715,90,5,1,379,easy,33,1,easy
2716,90,6,1,370,easy,10,1,medium
2717,90,7,1,316,medium,35,0,easy
2718,90,8,1,342,easy,25,1,easy
2719,90,9,1,307,easy,18,0,easy
2720,90,0,2,449,medium,60,1,medium
2721,90,1,2,646,medium,28,0,easy
2722,90,2,2,633,easy,42,1,easy
2723,90,3,2,615,easy,33,1,easy
2724,90,4,2,606,easy,6,1,medium
2725,90,5,2,534,medium,53,0,easy
2726,90,6,2,514,easy,15,0,easy
2727,90,7,2,635,easy,44,0,easy
2728,90,8,2,435,easy,14,1,medium
2729,90,9,2,599,medium,33,1,medium
2730,91,0,0,51,medium,16,0,medium
2731,91,1,0,173,medium,27,0,easy
2732,91,2,0,97,easy,40,0,easy
2733,91,3,0,29,easy,49,0,easy
2734,91,4,0,88,easy,54,1,easy
2735,91,5,0,112,easy,59,1,easy
2736,91,6,0,42,easy,40,0,easy
2737,91,7,0,117,easy,17,1,medium
2738,91,8,0,33,medium,35,1,medium
2739,91,9,0,62,medium,56,1,medium
2740,91,0,1,285,medium,14,0,medium
2741,91,1,1,329,medium,35,1,medium
2742,91,2,1,259,medium,32,0,easy
2743,91,3,1,374,easy,39,0,easy
2744,91,4,1,325,easy,49,1,easy
2745,91,5,1,286,easy,54,0,easy
2746,91,6,1,390,easy,17,0,easy
2747,91,7,1,280,easy,58,1,easy
2748,91,8,1,345,easy,47,0,easy
2749,91,9,1,218,easy,11,1,medium
2750,91,0,2,497,medium,14,0,medium
2751,91,1,2,475,medium,43,0,easy
2752,91,2,2,627,easy,52,1,easy
2753,91,3,2,615,easy,21,0,easy
2754,91,4,2,441,easy,57,1,easy
2755,91,5,2,463,easy,29,0,easy
2756,91,6,2,472,easy,54,1,easy
2757,91,7,2,516,easy,22,0,easy
2758,91,8,2,611,easy,53,1,easy
2759,91,9,2,634,easy,49,0,easy
2760,92,0,0,129,medium,54,0,easy
2761,92,1,0,128,easy,12,0,easy
2762,92,2,0,178,easy,33,1,easy
2763,92,3,0,10,easy,36,0,easy
2764,92,4,0,168,easy,19,1,medium
2765,92,5,0,119,medium,22,1,medium
2766,92,6,0,108,medium,7,0,medium
2767,92,7,0,81,medium,58,0,easy
2768,92,8,0,117,easy,19,0,easy
2769,92,9,0,159,easy,45,0,easy
2770,92,0,1,327,medium,9,0,medium
2771,92,1,1,224,medium,8,1,hard
2772,92,2,1,334,hard,55,1,hard
2773,92,3,1,242,hard,29,0,medium
2774,92,4,1,281,medium,57,0,easy
2775,92,5,1,348,easy,38,1,easy
2776,92,6,1,399,easy,29,1,easy
2777,92,7,1,375,easy,51,1,easy
2778,92,8,1,396,easy,5,1,medium
2779,92,9,1,259,medium,60,0,easy
2780,92,0,2,512,medium,20,0,medium
2781,92,1,2,502,medium,28,0,easy
2782,92,2,2,633,easy,21,1,easy
2783,92,3,2,622,easy,37,0,easy
